title,developer,platform,release_date,critic_score,number_of_critics,user_score,number_of_users,player_mode,esrb_rating,genre
Hades,Supergiant Games,Xbox Series X,08/13/2021,93.0,18,8.6,321,No Online Multiplayer,T,"Role-Playing, Action Adventure, Linear, Roguelike"
The Stanley Parable: Ultra Deluxe,Crows Crows Crows,Xbox Series X,04/27/2022,93.0,7,8.6,60,No Online Multiplayer,E10+,"Adventure, 3D, First-Person"
Forza Horizon 5,Playground Games,Xbox Series X,11/05/2021,92.0,103,8.2,3882,Up to 12 ,E,"Racing, Simulation, Automobile"
Resident Evil 4,Capcom,Xbox Series X,03/24/2023,91.0,27,6.8,956,No Online Multiplayer,M,"Action Adventure, Survival"
Rogue Legacy 2,Cellar Door Games,Xbox Series X,04/28/2022,90.0,16,7.8,41,No Online Multiplayer,E10+,"Action, Role-Playing, Platformer, Roguelike, 2D"
Microsoft Flight Simulator,Asobo Studio,Xbox Series X,07/27/2021,90.0,34,7.9,602,Online Multiplayer,E,"Simulation, Flight, Civilian"
Street Fighter 6,Capcom,Xbox Series X,06/02/2023,90.0,16,3.9,46,2 ,T,"Action, Fighting, 2D"
Dead Space,Electronic Arts,Xbox Series X,01/27/2023,89.0,25,8.8,316,No Online Multiplayer,M,"Action Adventure, Survival"
Deathloop,Arkane Studios,Xbox Series X,09/20/2022,89.0,13,7.2,266,2 ,M,"Action, Shooter, First-Person, Arcade"
It Takes Two,Hazelight,Xbox Series X,03/26/2021,89.0,32,8.8,410,2 ,T,"Action Adventure, Linear"
Persona 4 Golden,Atlus,Xbox Series X,01/19/2023,89.0,9,7.7,36,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Tony Hawk's Pro Skater 1 + 2,Vicarious Visions,Xbox Series X,03/26/2021,89.0,8,6.9,39,Up to 8 ,T,"Sports, Individual, Skate / Skateboard"
Tetris Effect: Connected,Monstars Inc.,Xbox Series X,11/10/2020,88.0,25,7.8,90,Up to 4 ,E,"Puzzle, Stacking"
Immortality,Sam Barlow,Xbox Series X,08/30/2022,88.0,14,7.2,73,,,"Adventure, General"
F1 2021,Codemasters,Xbox Series X,07/13/2021,88.0,15,5.8,48,Up to 20 ,E,"Racing, Simulation, Automobile"
Return to Monkey Island,Terrible Toybox,Xbox Series X,11/08/2022,87.0,7,7.9,29,No Online Multiplayer,E10+,"Adventure, Point-and-Click"
Hogwarts Legacy,Avalanche Software,Xbox Series X,02/07/2023,87.0,20,8.6,865,No Online Multiplayer,T,"Action Adventure, Open-World, Role-Playing, Western-Style"
Psychonauts 2,Double Fine Productions,Xbox Series X,08/25/2021,87.0,67,7.7,1694,No Online Multiplayer,T,"Action, Action Adventure, Platformer, Open-World, 3D"
Hitman 3,Io Interactive,Xbox Series X,01/20/2021,87.0,33,8.3,234,No Online Multiplayer,M,"Action Adventure, General"
Death's Door,Acid Nerve,Xbox Series X,07/20/2021,87.0,30,8.4,188,No Online Multiplayer,E10+,"Action Adventure, General"
Hi-Fi Rush,Tango Gameworks,Xbox Series X,01/25/2023,87.0,55,9.0,2682,No Online Multiplayer,T,"Action, Platformer, 3D"
Tales of Arise,Bandai Namco Games,Xbox Series X,09/10/2021,87.0,15,8.5,124,No Online Multiplayer,T,"Role-Playing, Japanese-Style"
Persona 3 Portable,Atlus,Xbox Series X,01/19/2023,87.0,9,6.1,30,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Halo Infinite,343 Industries,Xbox Series X,12/08/2021,87.0,98,7.9,5431,Up to 24 ,T,"Action, Shooter, First-Person, Arcade"
Monster Hunter Rise,Capcom,Xbox Series X,01/20/2023,87.0,13,2.7,152,Up to 4 ,T,"Role-Playing, Action RPG"
Age of Empires II: Definitive Edition,Forgotten Empires LLC,Xbox Series X,01/31/2023,86.0,17,8.4,103,Up to 8 ,T,"Strategy, Real-Time, Command"
The Forgotten City,Modern Storyteller,Xbox Series X,07/28/2021,86.0,11,8.5,68,No Online Multiplayer,T,"Action Adventure, General"
Pentiment,Obsidian Entertainment,Xbox Series X,11/15/2022,86.0,56,7.4,386,No Online Multiplayer,M,"Adventure, General"
Tinykin,Splashteam,Xbox Series X,08/30/2022,86.0,7,8.6,88,No Online Multiplayer,E10+,"Action, Strategy, Real-Time, Platformer, 3D, Command"
OlliOlli World,roll7,Xbox Series X,02/08/2022,85.0,20,6.6,19,No Online Multiplayer,E10+,"Action, Platformer, 2D"
Judgment,Ryu ga Gotoku Studios,Xbox Series X,04/23/2021,85.0,14,8.9,74,No Online Multiplayer,M,"Action Adventure, Open-World"
Citizen Sleeper,Jump Over The Age,Xbox Series X,05/05/2022,85.0,9,7.8,16,No Online Multiplayer,T,"Role-Playing, Action Adventure, General, Western-Style"
Forza Horizon 5: Hot Wheels,Playground Games,Xbox Series X,07/19/2022,85.0,19,7.7,172,,,"Racing, Simulation, Automobile"
A Plague Tale: Requiem,Asobo Studio,Xbox Series X,10/18/2022,85.0,35,8.6,564,No Online Multiplayer,M,"Action Adventure, Linear"
Destiny 2: The Witch Queen,Bungie,Xbox Series X,02/22/2022,85.0,9,8.0,58,,M,"Action, Shooter, First-Person, Arcade"
Tunic,ISOMETRICORP Games,Xbox Series X,03/16/2022,85.0,21,7.8,312,No Online Multiplayer,E10+,"Role-Playing, Action Adventure, Action RPG, Open-World"
Devil May Cry 5: Special Edition,Capcom,Xbox Series X,11/10/2020,84.0,11,7.8,77,Up to 3 ,M,"Action Adventure, General"
Planet Coaster: Console Edition,Frontier Developments,Xbox Series X,11/10/2020,84.0,7,5.4,18,No Online Multiplayer,E,"Strategy, Management, Business / Tycoon"
Star Wars Jedi: Survivor,Respawn Entertainment,Xbox Series X,04/28/2023,84.0,14,6.1,211,No Online Multiplayer,T,"Open-World, Action Adventure, General"
Assassin's Creed Valhalla,Ubisoft Montreal,Xbox Series X,11/10/2020,84.0,46,7.7,1081,No Online Multiplayer,M,"Action Adventure, Open-World"
Two Point Campus,Two Point Studios,Xbox Series X,08/09/2022,84.0,9,6.8,18,No Online Multiplayer,T,"Strategy, Management, Business / Tycoon"
Marvel's Guardians of the Galaxy,Eidos Montreal,Xbox Series X,10/26/2021,84.0,26,8.7,443,No Online Multiplayer,T,"Role-Playing, Action RPG, Action Adventure, Linear"
Tails Of Iron,United Label,Xbox Series X,09/17/2021,84.0,8,7.3,19,,T,"Role-Playing, Action RPG"
Life is Strange: True Colors,Deck Nine Games,Xbox Series X,09/10/2021,84.0,17,6.2,131,No Online Multiplayer,M,"Action Adventure, General"
Yakuza: Like a Dragon,Ryu ga Gotoku Studios,Xbox Series X,11/10/2020,83.0,25,8.3,174,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Subnautica: Below Zero,Unknown Worlds Entertainment,Xbox Series X,05/14/2021,83.0,12,7.8,56,No Online Multiplayer,E10+,"Adventure, General, Action Adventure, Sandbox"
Crusader Kings III,Lab42,Xbox Series X,03/29/2022,83.0,9,6.2,11,,T,"Strategy, Real-Time, General"
Resident Evil Village,Capcom,Xbox Series X,05/07/2021,83.0,13,5.5,573,No Online Multiplayer,M,"Action Adventure, Survival"
Crisis Core: Final Fantasy VII Reunion,Square Enix,Xbox Series X,12/13/2022,83.0,7,8.1,1002,No Online Multiplayer,T,"Role-Playing, Action RPG"
GhostWire: Tokyo,Tango Gameworks,Xbox Series X,04/12/2023,82.0,20,7.3,135,No Online Multiplayer,T,"Action Adventure, General"
Grounded,Obsidian Entertainment,Xbox Series X,09/27/2022,82.0,27,7.9,165,Up to 4 ,T,"Survival, Action Adventure, Sandbox"
Gears Tactics,Splash Damage,Xbox Series X,11/10/2020,82.0,15,7.2,128,No Online Multiplayer,M,"Strategy, Turn-Based, Tactics"
Knockout City,Electronic Arts,Xbox Series X,05/21/2021,82.0,7,7.2,35,Up to 8 ,E10+,"Sports, Team, Other"
LEGO Star Wars: The Skywalker Saga,Warner Bros. Interactive Entertainment,Xbox Series X,04/05/2022,82.0,51,8.0,99,No Online Multiplayer,E10+,"Action Adventure, General"
Teenage Mutant Ninja Turtles: The Cowabunga Collection,Konami,Xbox Series X,08/30/2022,81.0,13,6.7,10,Up to 4 ,T,"Miscellaneous, Compilation"
MLB The Show 21,Sony Interactive Entertainment San Diego Studio,Xbox Series X,04/16/2021,81.0,8,6.9,138,Up to 8 ,E,"Sports, Team, Baseball, Sim"
MotoGP 22,Milestone S.r.l,Xbox Series X,04/21/2022,81.0,11,5.7,7,Up to 12 ,E,"Racing, Simulation, Automobile"
DIRT 5,Codemasters,Xbox Series X,11/10/2020,81.0,17,6.2,78,Up to 12 ,E,"Racing, Simulation, Automobile"
WWE 2K23,Visual Concepts,Xbox Series X,03/14/2023,81.0,25,6.8,17,Up to 8 ,T,"Sports, Individual, Combat, Wrestling"
Marvel's Midnight Suns,Firaxis Games,Xbox Series X,12/02/2022,81.0,13,8.1,50,No Online Multiplayer,T,"Strategy, Turn-Based, Tactics"
F1 22,Codemasters,Xbox Series X,06/28/2022,81.0,22,4.5,39,Up to 22 ,E,"Action, General, Racing, Simulation, Automobile"
Chivalry 2,Torn Banner Studios,Xbox Series X,06/08/2021,81.0,11,6.5,53,Up to 64 ,M,"Action, Beat-'Em-Up, 3D"
Blacktail,The Parasight,Xbox Series X,12/15/2022,81.0,7,8.1,10,No Online Multiplayer,T,"Action, Shooter, First-Person, Arcade"
Immortals Fenyx Rising,Ubisoft Quebec,Xbox Series X,12/03/2020,81.0,53,7.7,284,No Online Multiplayer,T,"Action Adventure, Open-World"
MLB The Show 22,Sony Interactive Entertainment San Diego Studio,Xbox Series X,04/01/2022,80.0,15,5.8,29,Up to 8 ,E,"Sports, Team, Baseball, Sim"
WRC 10 The Official Game,KT Racing,Xbox Series X,09/02/2021,80.0,12,6.8,11,Up to 8 ,E,"Racing, Simulation, Automobile"
Alan Wake Remastered,Remedy Entertainment,Xbox Series X,10/05/2021,80.0,23,7.9,85,No Online Multiplayer,T,"Action Adventure, Survival"
The Artful Escape,Beethoven & Dinosaur,Xbox Series X,09/09/2021,80.0,34,7.7,77,,E10+,"Action, Adventure, General, Platformer, 2D"
NBA 2K23,Visual Concepts,Xbox Series X,09/09/2022,80.0,28,4.8,32,,E,"Sports, Team, Basketball, Sim"
FAR: Changing Tides,Okomotive,Xbox Series X,03/01/2022,80.0,16,7.0,33,No Online Multiplayer,E,"Action Adventure, Linear"
NBA 2K21,Visual Concepts,Xbox Series X,11/10/2020,80.0,22,4.5,51,Up to 10 ,E,"Sports, Team, Basketball, Arcade"
Diablo II: Resurrected,Blizzard Entertainment,Xbox Series X,09/23/2021,80.0,10,3.9,99,Up to 8 ,M,"Role-Playing, Action RPG"
Planet of Lana,Wishfully,Xbox Series X,05/23/2023,80.0,21,8.1,89,No Online Multiplayer,E10+,"Adventure, Action Adventure, General"
F1 Manager 2022,Frontier Developments,Xbox Series X,08/30/2022,80.0,11,7.8,8,,E,"Racing, Simulation, Other"
Lost Judgment,Sega,Xbox Series X,09/24/2021,80.0,18,8.4,43,No Online Multiplayer,M,"Action Adventure, Open-World"
The King of Fighters XV,SNK Corporation,Xbox Series X,02/14/2022,79.0,17,6.2,35,Up to 10 ,T,"Action, Fighting, 2D"
Far Cry 6,Ubisoft Toronto,Xbox Series X,10/07/2021,79.0,42,5.4,297,2 ,M,"Action Adventure, Open-World"
Moonglow Bay,Bunnyhug,Xbox Series X,10/07/2021,79.0,11,4.8,9,No Online Multiplayer,E,"Strategy, General, Management, Business / Tycoon"
Evil Genius 2: World Domination,Rebellion,Xbox Series X,11/30/2021,79.0,7,6.6,11,No Online Multiplayer,T,"Strategy, Real-Time, General"
Metal: Hellsinger,The Outsiders,Xbox Series X,09/15/2022,79.0,15,8.0,47,No Online Multiplayer,T,"Action, Shooter, First-Person, Arcade"
The Dark Pictures Anthology: The Devil in Me,Supermassive Games,Xbox Series X,11/18/2022,79.0,11,6.6,26,2 ,M,"Action Adventure, Adventure, 3D, Survival, Third-Person"
Klonoa Phantasy Reverie Series,Bandai Namco Games,Xbox Series X,07/08/2022,79.0,10,8.5,13,No Online Multiplayer,E10+,"Miscellaneous, Compilation"
Riders Republic,Ubisoft,Xbox Series X,10/28/2021,79.0,25,6.4,38,,T,"Sports, Individual, Other"
FIFA 23,EA Sports,Xbox Series X,09/27/2022,79.0,18,2.9,83,Up to 22 ,E,"Sports, Team, Soccer, Sim"
Nobody Saves the World,DrinkBox Studios,Xbox Series X,01/18/2022,79.0,21,7.9,72,2 ,T,"Role-Playing, Action RPG"
Cris Tales,Dreams Uncorporated,Xbox Series X,07/20/2021,79.0,10,7.5,31,No Online Multiplayer,T,"Role-Playing, Japanese-Style"
Grand Theft Auto V,Rockstar North,Xbox Series X,03/15/2022,79.0,11,3.8,246,Up to 30 ,M,"Action Adventure, Open-World"
Wo Long: Fallen Dynasty,Team Ninja,Xbox Series X,03/03/2023,79.0,28,8.2,461,Up to 5 ,M,"Action Adventure, Linear, Role-Playing, Action RPG"
Observer: System Redux,Bloober Team,Xbox Series X,11/10/2020,79.0,29,7.1,25,No Online Multiplayer,M,"Adventure, 3D, First-Person"
Like a Dragon: Ishin!,Ryu ga Gotoku Studios,Xbox Series X,02/18/2023,79.0,22,7.8,32,No Online Multiplayer,M,"Action Adventure, Open-World"
Lemnis Gate,Ratloop Games Canada,Xbox Series X,09/28/2021,78.0,7,4.5,11,Up to 4 ,T,"Action, Shooter, First-Person, Arcade"
The Quarry,Supermassive Games,Xbox Series X,06/10/2022,78.0,14,7.5,90,Up to 8 ,M,"Action Adventure, Survival"
Red Dead Redemption 2,Rockstar Games,PlayStation 4,10/26/2018,97.0,99,8.7,20684,Up to 32 ,M,"Action Adventure, Open-World"
Grand Theft Auto V,Rockstar North,PlayStation 4,11/18/2014,97.0,66,8.4,7749,Up to 30 ,M,"Action Adventure, Modern, Open-World"
Persona 5 Royal,Atlus,PlayStation 4,03/31/2020,95.0,71,8.5,3626,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
The Last of Us Remastered,Naughty Dog,PlayStation 4,07/29/2014,95.0,70,9.2,19216,Up to 8 ,M,"Action Adventure, General, Modern, Linear"
God of War,SCE Santa Monica,PlayStation 4,04/20/2018,94.0,118,9.1,22987,No Online Multiplayer,M,"Action Adventure, Linear"
The Last of Us Part II,Naughty Dog,PlayStation 4,06/19/2020,93.0,121,5.8,161481,No Online Multiplayer,M,"General, Action Adventure, Survival"
Persona 5,Atlus,PlayStation 4,04/04/2017,93.0,98,8.7,5533,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Metal Gear Solid V: The Phantom Pain,Kojima Productions,PlayStation 4,09/01/2015,93.0,86,8.2,6325,Up to 16 ,M,"Modern, Action Adventure, Modern, Open-World"
Uncharted 4: A Thief's End,Naughty Dog,PlayStation 4,05/10/2016,93.0,113,8.8,16685,Up to 10 ,T,"General, Modern, Action Adventure, Linear"
Journey,Tricky Pixels,PlayStation 4,07/21/2015,92.0,45,8.3,2717,2 ,E,"Action, Platformer, 3D"
Bloodborne,From Software,PlayStation 4,03/24/2015,92.0,100,8.9,12854,Up to 5 ,M,"Fantasy, Role-Playing, Action Adventure, General, Action RPG"
Undertale,tobyfox,PlayStation 4,08/15/2017,92.0,18,7.3,961,No Online Multiplayer,E10+,"Role-Playing, Japanese-Style"
The Witcher 3: Wild Hunt,CD Projekt Red Studio,PlayStation 4,05/19/2015,92.0,79,9.2,18448,No Online Multiplayer,M,"Action RPG, Role-Playing, Action RPG"
Divinity: Original Sin II - Definitive Edition,Larian Studios Games,PlayStation 4,08/31/2018,92.0,46,8.0,499,Up to 4 ,M,"Role-Playing, Western-Style"
Final Fantasy XIV: Shadowbringers,Square Enix,PlayStation 4,07/02/2019,91.0,18,8.7,481,,T,"Role-Playing, Massively Multiplayer"
Shadow of the Colossus,Bluepoint Games,PlayStation 4,02/06/2018,91.0,100,7.8,2697,No Online Multiplayer,T,"Action Adventure, General"
The Witcher 3: Wild Hunt - Blood and Wine,CD Projekt Red Studio,PlayStation 4,05/30/2016,91.0,27,9.2,2027,No Online Multiplayer,M,"Role-Playing, Action RPG"
Celeste,Matt Makes Games Inc.,PlayStation 4,01/25/2018,91.0,7,7.7,475,No Online Multiplayer,E10+,"Action, Platformer, 2D"
INSIDE,PLAYDEAD,PlayStation 4,08/23/2016,91.0,18,8.5,1022,,M,"Action, Platformer, 2D"
NieR: Automata - Game of the YoRHa Edition,PlatinumGames,PlayStation 4,02/26/2019,91.0,10,8.9,758,No Online Multiplayer,M,"Role-Playing, Action RPG"
Resident Evil 2,Capcom R&D Division 1,PlayStation 4,01/25/2019,91.0,85,9.0,4740,No Online Multiplayer,M,"Action Adventure, Survival"
Dragon Quest XI S: Echoes of an Elusive Age - Definitive Edition,Square Enix,PlayStation 4,12/04/2020,91.0,25,8.0,162,No Online Multiplayer,T,"Role-Playing, Japanese-Style"
flower,Bluepoint Games,PlayStation 4,11/15/2013,91.0,11,7.3,760,1 Player,E,"General, Miscellaneous, General"
Diablo III: Ultimate Evil Edition,Blizzard Entertainment,PlayStation 4,08/19/2014,90.0,63,7.8,1556,Up to 4 ,M,"Action RPG, Role-Playing, Action RPG"
Overwatch,Blizzard Entertainment,PlayStation 4,05/23/2016,90.0,31,6.4,2330,Up to 12 ,T,"Action, Shooter, First-Person, Tactical"
Shovel Knight,Yacht Club Games,PlayStation 4,04/21/2015,90.0,18,7.7,448,,E,"Action, Platformer, 2D"
Rayman Legends,Ubisoft Montpellier,PlayStation 4,02/18/2014,90.0,16,8.3,1079,No Online Multiplayer,E10+,"Platformer, 2D, Action, Platformer, 2D"
Fez,Polytron Corp.,PlayStation 4,03/25/2014,90.0,17,6.4,582,No Online Multiplayer,E,"Action, Platformer, Platformer, 2D, 2D"
Monster Hunter: World,Capcom,PlayStation 4,01/26/2018,90.0,93,7.7,1968,Up to 4 ,T,"Role-Playing, Action RPG"
Tales From The Borderlands: Episode 5 - The Vault of the Traveler,Telltale Games,PlayStation 4,10/20/2015,90.0,7,7.9,196,,M,"Adventure, General"
The Witcher 3: Wild Hunt - Hearts of Stone,CD Projekt Red Studio,PlayStation 4,10/12/2015,90.0,25,9.0,2026,No Online Multiplayer,M,"Role-Playing, Action RPG"
Sekiro: Shadows Die Twice,From Software,PlayStation 4,03/22/2019,90.0,76,8.5,5055,No Online Multiplayer,M,"Action Adventure, General"
Astro Bot: Rescue Mission,JapanStudio,PlayStation 4,10/02/2018,90.0,51,9.0,553,No Online Multiplayer,E10+,"Action Adventure, General"
Monster Hunter: World - Iceborne,Capcom,PlayStation 4,09/06/2019,89.0,65,8.4,343,,T,"Role-Playing, Action RPG"
Rez Infinite,Q Entertainment,PlayStation 4,10/13/2016,89.0,47,7.5,212,,E10+,"Action, Shooter, Rail"
Titanfall 2,Respawn Entertainment,PlayStation 4,10/28/2016,89.0,61,8.6,2369,Up to 16 ,M,"Action, Shooter, First-Person, Arcade"
Dark Souls III,From Software,PlayStation 4,04/12/2016,89.0,69,9.0,5084,Up to 6 ,M,"Role-Playing, Action RPG"
Tetris Effect,Enhance Games,PlayStation 4,11/09/2018,89.0,72,7.5,233,No Online Multiplayer,E,"Puzzle, Stacking"
Final Fantasy XIV: Stormblood,Square Enix,PlayStation 4,06/20/2017,89.0,15,8.9,486,Massively Multiplayer,T,"Role-Playing, Massively Multiplayer"
It Takes Two,Hazelight,PlayStation 4,03/26/2021,89.0,17,8.9,617,2 ,T,"Action Adventure, Linear"
Bastion,Supergiant Games,PlayStation 4,04/07/2015,89.0,13,7.7,358,,E10+,"Role-Playing, Action RPG"
Apex Legends,Respawn Entertainment,PlayStation 4,02/04/2019,89.0,28,6.9,1556,Up to 60 ,T,"Action, Shooter, First-Person, Tactical"
Synth Riders,Kluge Interactive,PlayStation 4,08/10/2021,89.0,8,7.0,16,Up to 10 ,T,"Action, Rhythm, Music"
Dreams,Media Molecule,PlayStation 4,02/14/2020,89.0,80,8.7,1410,Online Multiplayer,T,"Miscellaneous, General, Action Adventure, Sandbox"
Dragon Age: Inquisition,BioWare,PlayStation 4,11/18/2014,89.0,43,7.5,2958,Up to 4 ,M,"General, Role-Playing, General, Action RPG, Western-Style"
Tony Hawk's Pro Skater 1 + 2,Vicarious Visions,PlayStation 4,09/04/2020,89.0,74,8.7,571,Up to 8 ,T,"Sports, Individual, Skate / Skateboard"
Battlefield 1,EA DICE,PlayStation 4,10/18/2016,89.0,34,7.9,2498,Up to 64 ,M,"Action, General, Shooter, First-Person, Tactical"
Horizon Zero Dawn,Guerrilla,PlayStation 4,02/28/2017,89.0,115,8.4,12263,No Online Multiplayer,T,"Role-Playing, Action Adventure, Action RPG, Open-World"
Minecraft: PlayStation 4 Edition,4J Studios,PlayStation 4,09/03/2014,89.0,14,7.0,766,Up to 8 ,E10+,"Action Adventure, Adventure, 3D, Sandbox, First-Person, Fantasy, Fantasy"
What Remains of Edith Finch,Giant Sparrow,PlayStation 4,04/25/2017,88.0,65,8.3,861,No Online Multiplayer,T,"General, Adventure, 3D, First-Person"
The Binding of Isaac: Rebirth,Nicalis,PlayStation 4,11/04/2014,88.0,15,7.8,578,,M,"Horror, Action, Action Adventure, Shooter, Survival, Shoot-'Em-Up, Top-Down"
NieR: Automata,PlatinumGames,PlayStation 4,03/07/2017,88.0,101,8.9,4532,No Online Multiplayer,M,"Role-Playing, Action RPG"
Rise of the Tomb Raider: 20 Year Celebration,Crystal Dynamics,PlayStation 4,10/11/2016,88.0,55,8.0,1954,2 ,M,"Action Adventure, Linear"
NBA 2K17,Visual Concepts,PlayStation 4,09/16/2016,88.0,47,6.3,317,Up to 10 ,E,"Sports, Team, Basketball, Sim"
Dishonored 2,Arkane Studios,PlayStation 4,11/10/2016,88.0,62,8.5,1932,No Online Multiplayer,M,"Action Adventure, General"
Injustice 2: Legendary Edition,NetherRealm Studios,PlayStation 4,03/27/2018,88.0,7,7.7,275,2 ,,"Action, Fighting, 2D"
Divinity: Original Sin Enhanced Edition,Larian Studios Games,PlayStation 4,10/27/2015,88.0,39,8.0,589,2 ,M,"Role-Playing, Action RPG, Western-Style"
Devil May Cry 5,Capcom,PlayStation 4,03/08/2019,88.0,42,8.4,1835,Up to 3 ,M,"Action Adventure, General"
Slay the Spire,Mega Crit Games,PlayStation 4,05/21/2019,88.0,7,7.2,128,No Online Multiplayer,E10+,"Strategy, Turn-Based, Card Battle"
Owlboy,BlitWorks,PlayStation 4,04/10/2018,88.0,10,6.7,118,No Online Multiplayer,E10+,"Action Adventure, General"
Keep Talking and Nobody Explodes,Steel Crate Games,PlayStation 4,10/13/2016,88.0,9,7.3,64,,E10+,"Adventure, 3D, First-Person"
The Talos Principle: Deluxe Edition,Croteam,PlayStation 4,10/13/2015,88.0,31,8.2,243,,T,"Adventure, 3D, First-Person, Sci-Fi"
Pistol Whip,Cloudhead Games,PlayStation 4,07/30/2020,88.0,12,7.2,48,No Online Multiplayer,,"Action, Shooter, Light Gun"
Nex Machina: Death Machine,Housemarque,PlayStation 4,06/20/2017,88.0,47,8.0,165,,T,"Action, Shooter, Shoot-'Em-Up, Top-Down"
Nioh,Team Ninja,PlayStation 4,02/07/2017,88.0,100,8.3,2612,2 ,M,"Role-Playing, Action RPG"
Kentucky Route Zero: TV Edition,Cardboard Computer,PlayStation 4,01/28/2020,88.0,16,6.1,95,No Online Multiplayer,T,"Adventure, General"
Guacamelee! Super Turbo Championship Edition,DrinkBox Studios,PlayStation 4,07/01/2014,87.0,30,7.7,411,,E10+,"Action, Platformer, 2D, None, Metroidvania"
Frostpunk: Console Edition,11 bit studios,PlayStation 4,10/11/2019,87.0,18,8.0,120,No Online Multiplayer,M,"Strategy, Action Adventure, Management, Survival, Government"
Bloodborne: The Old Hunters,From Software,PlayStation 4,11/24/2015,87.0,61,8.9,2235,,M,"Role-Playing, Action RPG"
XCOM 2,Firaxis Games,PlayStation 4,09/27/2016,87.0,29,7.2,511,2 ,T,"Strategy, Turn-Based, General, Tactics"
Injustice 2,NetherRealm Studios,PlayStation 4,05/16/2017,87.0,90,8.0,841,2 ,T,"Action, Fighting, 2D"
The Witness,"Thekla, Inc",PlayStation 4,01/26/2016,87.0,82,7.5,840,,E,"Miscellaneous, General, General, Puzzle, Puzzle, Adventure, 3D, First-Person"
Dead Cells,Motion Twin,PlayStation 4,08/07/2018,87.0,31,7.8,284,No Online Multiplayer,T,"Action, Platformer, 2D"
Sid Meier's Civilization VI,Aspyr,PlayStation 4,11/22/2019,87.0,27,6.7,230,Up to 12 ,E10+,"Strategy, Turn-Based, 4X"
Final Fantasy VII Remake,Square Enix,PlayStation 4,04/10/2020,87.0,126,8.1,7872,No Online Multiplayer,T,"Japanese-Style, Role-Playing, Action RPG"
Street Fighter V: Arcade Edition,Capcom,PlayStation 4,01/16/2018,87.0,36,6.4,388,Up to 8 ,T,"Action, Fighting, 2D"
Night in the Woods,Infinite Fall,PlayStation 4,02/21/2017,87.0,15,7.3,199,,T,"Fantasy, Action Adventure, Adventure, General"
Chained Echoes,Matthias Linda,PlayStation 4,12/08/2022,87.0,7,8.4,51,No Online Multiplayer,M,"Role-Playing, Japanese-Style"
Quake Remastered,id Software,PlayStation 4,08/19/2021,87.0,7,6.3,26,Up to 8 ,M,"Action, Shooter, First-Person, Arcade"
Dragon Ball FighterZ,Arc System Works,PlayStation 4,01/26/2018,87.0,74,8.0,662,2 ,T,"Action, Fighting, 2D"
Batman: Arkham Knight,Rocksteady Studios,PlayStation 4,06/23/2015,87.0,89,8.0,4903,No Online Multiplayer,M,"General, Fantasy, Action Adventure, Open-World"
Marvel's Spider-Man,Insomniac Games,PlayStation 4,09/07/2018,87.0,116,8.7,8962,No Online Multiplayer,T,"Action Adventure, Open-World"
Okami HD,Capcom,PlayStation 4,12/12/2017,87.0,39,8.2,222,No Online Multiplayer,T,"Action Adventure, General"
TowerFall Ascension,Matt Thorson,PlayStation 4,03/11/2014,87.0,31,7.1,466,,E10+,"Action, General, Platformer, 2D"
Monster Boy and the Cursed Kingdom,FDG Entertainment,PlayStation 4,12/04/2018,87.0,18,8.0,83,No Online Multiplayer,E10+,"Action, Action Adventure, General, Platformer, Metroidvania"
FIFA 14,EA Canada,PlayStation 4,11/12/2013,87.0,26,6.3,754,Up to 22 ,E,"Sports, Traditional, Team, Soccer, Sim, Sim"
DOOM Eternal,id Software,PlayStation 4,03/20/2020,87.0,48,8.9,3863,Up to 3 ,M,"Action, Shooter, First-Person, Arcade"
Pro Evolution Soccer 2016,Konami,PlayStation 4,09/15/2015,87.0,54,7.2,725,Up to 22 ,E,"Sports, Team, Soccer, Sim"
Zero Escape: The Nonary Games,Spike Chunsoft,PlayStation 4,03/24/2017,87.0,10,8.3,144,No Online Multiplayer,M,"Miscellaneous, Compilation"
Mass Effect Legendary Edition,BioWare,PlayStation 4,05/14/2021,87.0,46,6.8,857,No Online Multiplayer,M,"Miscellaneous, Compilation"
Wolfenstein II: The New Colossus,MachineGames,PlayStation 4,10/27/2017,87.0,70,7.4,1571,No Online Multiplayer,M,"Action, Shooter, First-Person, Arcade"
Odin Sphere Leifthrasir,Vanillaware,PlayStation 4,06/07/2016,87.0,49,8.2,288,No Online Multiplayer,T,"Role-Playing, Action RPG"
Theatrhythm Final Bar Line,indieszero,PlayStation 4,02/16/2023,87.0,33,6.6,38,Up to 4 ,T,"Action, Rhythm, Music"
Dark Souls II: Scholar of the First Sin,From Software,PlayStation 4,04/07/2015,87.0,42,7.7,1416,Up to 6 ,T,"Role-Playing, Action RPG"
Sonic Mania Plus,Sega,PlayStation 4,07/17/2018,87.0,25,8.3,196,2 ,E,"Action, Platformer, 2D"
Psychonauts 2,Double Fine Productions,PlayStation 4,08/25/2021,87.0,7,5.5,284,No Online Multiplayer,T,"Beat-'Em-Up, Action, Action Adventure, Platformer, Open-World, 3D"
